time|position|velocity|acceleration|rotation|rotational velocity|sun|charge
3915|-4137728.090477696,-7380057.413848684,2149913.151453949|5036.207105051586,-2355.1053292797055,-1548.7138735846036|0,0,0|0,0,0|0,0,0|-0.9999996960462939,-0.0007796838533345234,0|9.739633600172187
3916|-4134813.6318790787,-7381419.381571167,2149016.821013807|5037.641183523656,-2352.5463677124662,-1549.4591104363737|0,0,0|0,0,0|0,0,0|-0.9999996958910373,-0.0007798829554017557,0|9.739772705555493
3917|-4131935.2780428072,-7382762.643806237,2148131.421759413|5039.056322083551,-2350.018969850147,-1550.1947152387243|0,0,0|0,0,0|0,0,0|-0.9999996957357411,-0.0007800820574689572,0|9.739911810994062
3918|-4129055.188719721,-7384104.893772814,2147245.3170048073|5040.4711467348725,-2347.48991131493,-1550.9303661202068|0,0,0|0,0,0|0,0,0|-0.9999996955804052,-0.0007802811595361278,0|9.740050916487894
3919|-4126173.3623701083,-7385446.130148664,2146358.506084119|5041.885657023171,-2344.9591900898904,-1551.6660631110503|0,0,0|0,0,0|0,0,0|-0.9999996954250298,-0.0007804802616032674,0|9.740190022036987
3920|-4123251.8442138266,-7386803.979330108,2145459.30575108|5043.3184582265485,-2342.3934721824935,-1552.4114873793533|0,0,0|0,0,0|0,0,0|-0.9999996952696146,-0.0007806793636703761,0|9.740329127641346
3921|-4120328.5398327773,-7388160.7853287235,2144559.379167771|5044.75093579415,-2339.8260433655378,-1553.1569590394283|0,0,0|0,0,0|0,0,0|-0.9999996951141599,-0.0007808784657374539,0|9.740468233300966
3922|-4117441.447297009,-7389498.946167897,2143670.4271002123|5046.164491930648,-2337.2902779987367,-1553.8927957511976|0,0,0|0,0,0|0,0,0|-0.9999996949586655,-0.0007810775678045006,0|9.740607339015849
3923|-4114552.6115207276,-7390836.088057457,2142780.766177109|5047.57773185321,-2334.752841792269,-1554.6286786893415|0,0,0|0,0,0|0,0,0|-0.9999996948031314,-0.0007812766698715165,0|9.740746444785996
3924|-4111623.985365344,-7392189.783398261,2141878.675595395|5049.009244079244,-2332.1803122251513,-1555.3742914690235|0,0,0|0,0,0|0,0,0|-0.9999996946475578,-0.0007814757719385013,0|9.740885550611406
3925|-4108693.5665945807,-7393542.430026327,2140975.8559957426|5050.440430752063,-2329.6060633587813,-1556.119951756697|0,0,0|0,0,0|0,0,0|-0.9999996944919444,-0.0007816748740054552,0|9.741024656492078
3926|-4105799.4457911905,-7394876.480075776,2140084.045766065|5051.852710869764,-2327.0635582758487,-1556.855974758399|0,0,0|0,0,0|0,0,0|-0.9999996943362913,-0.0007818739760723782,0|9.741163762428013
3927|-4102903.575509875,-7396209.505759969,2139191.523977801|5053.264672888442,-2324.5193741566322,-1557.5920440958796|0,0,0|0,0,0|0,0,0|-0.9999996941805986,-0.0007820730781392701,0|9.741302868419211
3928|-4099929.677345044,-7397576.544491806,2138274.7741748234|5054.713460539912,-2321.906489785268,-1558.3475318871988|0,0,0|0,0,0|0,0,0|-0.9999996940248663,-0.000782272180206131,0|9.741441974465673
3929|-4097030.2573063746,-7398907.490333527,2137380.8084783694|5056.124776535361,-2319.3588971409795,-1559.083695194763|0,0,0|0,0,0|0,0,0|-0.9999996938690944,-0.0007824712822729609,0|9.741581080567396
3930|-4094129.0830860976,-7400237.407701787,2136486.129182662|5057.535772992177,-2316.8096192685657,-1559.8199049152715|0,0,0|0,0,0|0,0,0|-0.9999996937132828,-0.0007826703843397598,0|9.741720186724383
3931|-4091187.9449703433,-7401583.77372369,2135578.9493533047|5058.965008827197,-2314.2250775294233,-1560.5658489639266|0,0,0|0,0,0|0,0,0|-0.9999996935574316,-0.0007828694864065277,0|9.741859292936633
3932|-4088245.0029872283,-7402929.081205271,2134671.035624389|5060.39391566517,-2311.638801679066,-1561.3118407051536|0,0,0|0,0,0|0,0,0|-0.9999996934015407,-0.0007830685884732646,0|9.741998399204144
